hotel_name,city,date,price_per_night,rating,season,is_weekend,year
Kecharis Hotel & Resort,Tsaghkadzor,2024-01-02,200.00,4.5,Winter,Weekday,2024
Ararat Resort Tsaghkadzor,Tsaghkadzor,2024-01-02,158.83,4.4,Winter,Weekday,2024
Golden Palace Tsaghkadzor,Tsaghkadzor,2024-01-02,170.42,4.2,Winter,Weekday,2024
Tufenkian Old Dilijan Complex,Dilijan,2024-01-02,96.61,4.7,Winter,Weekday,2024
Best Western Plus Paradise Hotel Dilijan,Dilijan,2024-01-02,97.12,4.5,Winter,Weekday,2024
Dilijan Resort,Dilijan,2024-01-02,95.14,4.3,Winter,Weekday,2024
Jermuk Olympia Sanatorium,Jermuk,2024-01-02,123.44,4.4,Winter,Weekday,2024
Jermuk Ashkharh Health Center,Jermuk,2024-01-02,102.55,4.2,Winter,Weekday,2024
Jermuk Grand Hotel,Jermuk,2024-01-02,124.29,4.3,Winter,Weekday,2024
Grand Hotel Gyumri,Gyumri,2024-01-02,84.06,4.1,Winter,Weekday,2024
Berlin Art Hotel Gyumri,Gyumri,2024-01-02,94.08,4.0,Winter,Weekday,2024
Aleksandrapol Hotel,Gyumri,2024-01-02,96.81,3.9,Winter,Weekday,2024
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2024-01-03,233.75,4.7,Winter,Weekday,2024
Republica Hotel Yerevan,Yerevan,2024-01-03,244.97,4.5,Winter,Weekday,2024
DoubleTree by Hilton Yerevan,Yerevan,2024-01-03,167.72,4.6,Winter,Weekday,2024
Ani Grand Hotel Yerevan,Yerevan,2024-01-03,164.11,4.4,Winter,Weekday,2024
Metropol Hotel Yerevan,Yerevan,2024-01-03,188.89,4.3,Winter,Weekday,2024
Grand Hotel Yerevan,Yerevan,2024-01-03,103.88,4.2,Winter,Weekday,2024
Opera Suite Hotel,Yerevan,2024-01-03,153.47,4.1,Winter,Weekday,2024
Silachi Hotel,Yerevan,2024-01-03,165.35,4.0,Winter,Weekday,2024
Marriott Tsaghkadzor,Tsaghkadzor,2024-01-03,156.19,4.6,Winter,Weekday,2024
Kecharis Hotel & Resort,Tsaghkadzor,2024-01-03,177.17,4.5,Winter,Weekday,2024
Ararat Resort Tsaghkadzor,Tsaghkadzor,2024-01-03,135.50,4.4,Winter,Weekday,2024
Golden Palace Tsaghkadzor,Tsaghkadzor,2024-01-03,107.24,4.2,Winter,Weekday,2024
Tufenkian Old Dilijan Complex,Dilijan,2024-01-03,127.20,4.7,Winter,Weekday,2024
Best Western Plus Paradise Hotel Dilijan,Dilijan,2024-01-03,131.02,4.5,Winter,Weekday,2024
Dilijan Resort,Dilijan,2024-01-03,100.35,4.3,Winter,Weekday,2024
Jermuk Olympia Sanatorium,Jermuk,2024-01-03,137.17,4.4,Winter,Weekday,2024
Jermuk Ashkharh Health Center,Jermuk,2024-01-03,83.62,4.2,Winter,Weekday,2024
Jermuk Grand Hotel,Jermuk,2024-01-03,99.98,4.3,Winter,Weekday,2024
Grand Hotel Gyumri,Gyumri,2024-01-03,118.81,4.1,Winter,Weekday,2024
Berlin Art Hotel Gyumri,Gyumri,2024-01-03,110.52,4.0,Winter,Weekday,2024
Aleksandrapol Hotel,Gyumri,2024-01-03,59.51,3.9,Winter,Weekday,2024
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2024-01-04,220.13,4.7,Winter,Weekday,2024
Republica Hotel Yerevan,Yerevan,2024-01-04,247.37,4.5,Winter,Weekday,2024
DoubleTree by Hilton Yerevan,Yerevan,2024-01-04,184.45,4.6,Winter,Weekday,2024
Ani Grand Hotel Yerevan,Yerevan,2024-01-04,231.11,4.4,Winter,Weekday,2024
Metropol Hotel Yerevan,Yerevan,2024-01-04,147.71,4.3,Winter,Weekday,2024
Grand Hotel Yerevan,Yerevan,2024-01-04,110.67,4.2,Winter,Weekday,2024
Opera Suite Hotel,Yerevan,2024-01-04,130.42,4.1,Winter,Weekday,2024
Silachi Hotel,Yerevan,2024-01-04,126.99,4.0,Winter,Weekday,2024
Marriott Tsaghkadzor,Tsaghkadzor,2024-01-04,180.00,4.6,Winter,Weekday,2024
Kecharis Hotel & Resort,Tsaghkadzor,2024-01-04,149.51,4.5,Winter,Weekday,2024
Ararat Resort Tsaghkadzor,Tsaghkadzor,2024-01-04,158.57,4.4,Winter,Weekday,2024
Golden Palace Tsaghkadzor,Tsaghkadzor,2024-01-04,111.62,4.2,Winter,Weekday,2024
Tufenkian Old Dilijan Complex,Dilijan,2024-01-04,156.36,4.7,Winter,Weekday,2024
Best Western Plus Paradise Hotel Dilijan,Dilijan,2024-01-04,108.91,4.5,Winter,Weekday,2024
Dilijan Resort,Dilijan,2024-01-04,79.90,4.3,Winter,Weekday,2024
Jermuk Olympia Sanatorium,Jermuk,2024-01-04,94.62,4.4,Winter,Weekday,2024
Jermuk Ashkharh Health Center,Jermuk,2024-01-04,74.03,4.2,Winter,Weekday,2024
Jermuk Grand Hotel,Jermuk,2024-01-04,73.48,4.3,Winter,Weekday,2024
Grand Hotel Gyumri,Gyumri,2024-01-04,90.95,4.1,Winter,Weekday,2024
Berlin Art Hotel Gyumri,Gyumri,2024-01-04,106.66,4.0,Winter,Weekday,2024
Aleksandrapol Hotel,Gyumri,2024-01-04,75.32,3.9,Winter,Weekday,2024
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2024-01-05,212.57,4.7,Winter,Weekday,2024
Republica Hotel Yerevan,Yerevan,2024-01-05,242.26,4.5,Winter,Weekday,2024
DoubleTree by Hilton Yerevan,Yerevan,2024-01-05,221.62,4.6,Winter,Weekday,2024
Ani Grand Hotel Yerevan,Yerevan,2024-01-05,200.22,4.4,Winter,Weekday,2024
Metropol Hotel Yerevan,Yerevan,2024-01-05,147.09,4.3,Winter,Weekday,2024
Grand Hotel Yerevan,Yerevan,2024-01-05,127.25,4.2,Winter,Weekday,2024
Opera Suite Hotel,Yerevan,2024-01-05,140.20,4.1,Winter,Weekday,2024
Silachi Hotel,Yerevan,2024-01-05,147.03,4.0,Winter,Weekday,2024
Marriott Tsaghkadzor,Tsaghkadzor,2024-01-05,175.56,4.6,Winter,Weekday,2024
Kecharis Hotel & Resort,Tsaghkadzor,2024-01-05,182.00,4.5,Winter,Weekday,2024
Ararat Resort Tsaghkadzor,Tsaghkadzor,2024-01-05,125.72,4.4,Winter,Weekday,2024
Golden Palace Tsaghkadzor,Tsaghkadzor,2024-01-05,126.98,4.2,Winter,Weekday,2024
Tufenkian Old Dilijan Complex,Dilijan,2024-01-05,112.90,4.7,Winter,Weekday,2024
Best Western Plus Paradise Hotel Dilijan,Dilijan,2024-01-05,115.21,4.5,Winter,Weekday,2024
Dilijan Resort,Dilijan,2024-01-05,100.88,4.3,Winter,Weekday,2024
Jermuk Olympia Sanatorium,Jermuk,2024-01-05,142.21,4.4,Winter,Weekday,2024
Jermuk Ashkharh Health Center,Jermuk,2024-01-05,132.51,4.2,Winter,Weekday,2024
Jermuk Grand Hotel,Jermuk,2024-01-05,114.51,4.3,Winter,Weekday,2024
Grand Hotel Gyumri,Gyumri,2024-01-05,96.49,4.1,Winter,Weekday,2024
Berlin Art Hotel Gyumri,Gyumri,2024-01-05,82.53,4.0,Winter,Weekday,2024
Aleksandrapol Hotel,Gyumri,2024-01-05,86.78,3.9,Winter,Weekday,2024
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2024-01-06,270.54,4.7,Winter,Weekend,2024
Republica Hotel Yerevan,Yerevan,2024-01-06,221.60,4.5,Winter,Weekend,2024
DoubleTree by Hilton Yerevan,Yerevan,2024-01-06,304.03,4.6,Winter,Weekend,2024
Ani Grand Hotel Yerevan,Yerevan,2024-01-06,223.35,4.4,Winter,Weekend,2024
Metropol Hotel Yerevan,Yerevan,2024-01-06,165.00,4.3,Winter,Weekend,2024
Grand Hotel Yerevan,Yerevan,2024-01-06,182.93,4.2,Winter,Weekend,2024
Opera Suite Hotel,Yerevan,2024-01-06,145.53,4.1,Winter,Weekend,2024
Silachi Hotel,Yerevan,2024-01-06,113.96,4.0,Winter,Weekend,2024
Marriott Tsaghkadzor,Tsaghkadzor,2024-01-06,222.10,4.6,Winter,Weekend,2024
Kecharis Hotel & Resort,Tsaghkadzor,2024-01-06,164.52,4.5,Winter,Weekend,2024
Ararat Resort Tsaghkadzor,Tsaghkadzor,2024-01-06,126.06,4.4,Winter,Weekend,2024
Golden Palace Tsaghkadzor,Tsaghkadzor,2024-01-06,166.52,4.2,Winter,Weekend,2024
Tufenkian Old Dilijan Complex,Dilijan,2024-01-06,110.26,4.7,Winter,Weekend,2024
Best Western Plus Paradise Hotel Dilijan,Dilijan,2024-01-06,147.30,4.5,Winter,Weekend,2024
Dilijan Resort,Dilijan,2024-01-06,127.01,4.3,Winter,Weekend,2024
Jermuk Olympia Sanatorium,Jermuk,2024-01-06,111.70,4.4,Winter,Weekend,2024
Jermuk Ashkharh Health Center,Jermuk,2024-01-06,114.92,4.2,Winter,Weekend,2024
Jermuk Grand Hotel,Jermuk,2024-01-06,93.13,4.3,Winter,Weekend,2024
Grand Hotel Gyumri,Gyumri,2024-01-06,94.72,4.1,Winter,Weekend,2024
Berlin Art Hotel Gyumri,Gyumri,2024-01-06,112.73,4.0,Winter,Weekend,2024
Aleksandrapol Hotel,Gyumri,2024-01-06,90.09,3.9,Winter,Weekend,2024
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2024-01-07,235.19,4.7,Winter,Weekend,2024
Republica Hotel Yerevan,Yerevan,2024-01-07,295.79,4.5,Winter,Weekend,2024
DoubleTree by Hilton Yerevan,Yerevan,2024-01-07,191.68,4.6,Winter,Weekend,2024
Ani Grand Hotel Yerevan,Yerevan,2024-01-07,205.92,4.4,Winter,Weekend,2024
Metropol Hotel Yerevan,Yerevan,2024-01-07,233.68,4.3,Winter,Weekend,2024
Grand Hotel Yerevan,Yerevan,2024-01-07,131.93,4.2,Winter,Weekend,2024
Opera Suite Hotel,Yerevan,2024-01-07,165.17,4.1,Winter,Weekend,2024
Silachi Hotel,Yerevan,2024-01-07,162.18,4.0,Winter,Weekend,2024
Marriott Tsaghkadzor,Tsaghkadzor,2024-01-07,205.38,4.6,Winter,Weekend,2024
Kecharis Hotel & Resort,Tsaghkadzor,2024-01-07,200.00,4.5,Winter,Weekend,2024
Ararat Resort Tsaghkadzor,Tsaghkadzor,2024-01-07,187.50,4.4,Winter,Weekend,2024
Golden Palace Tsaghkadzor,Tsaghkadzor,2024-01-07,115.69,4.2,Winter,Weekend,2024
Tufenkian Old Dilijan Complex,Dilijan,2024-01-07,109.28,4.7,Winter,Weekend,2024
Best Western Plus Paradise Hotel Dilijan,Dilijan,2024-01-07,111.78,4.5,Winter,Weekend,2024
Dilijan Resort,Dilijan,2024-01-07,126.40,4.3,Winter,Weekend,2024
Jermuk Olympia Sanatorium,Jermuk,2024-01-07,120.66,4.4,Winter,Weekend,2024
Jermuk Ashkharh Health Center,Jermuk,2024-01-07,111.84,4.2,Winter,Weekend,2024
Jermuk Grand Hotel,Jermuk,2024-01-07,126.48,4.3,Winter,Weekend,2024
Grand Hotel Gyumri,Gyumri,2024-01-07,105.11,4.1,Winter,Weekend,2024
Berlin Art Hotel Gyumri,Gyumri,2024-01-07,77.71,4.0,Winter,Weekend,2024
Aleksandrapol Hotel,Gyumri,2024-01-07,100.94,3.9,Winter,Weekend,2024
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2024-01-08,281.92,4.7,Winter,Weekday,2024
Republica Hotel Yerevan,Yerevan,2024-01-08,182.56,4.5,Winter,Weekday,2024
DoubleTree by Hilton Yerevan,Yerevan,2024-01-08,190.55,4.6,Winter,Weekday,2024
Ani Grand Hotel Yerevan,Yerevan,2024-01-08,219.13,4.4,Winter,Weekday,2024
Metropol Hotel Yerevan,Yerevan,2024-01-08,196.44,4.3,Winter,Weekday,2024
Grand Hotel Yerevan,Yerevan,2024-01-08,104.44,4.2,Winter,Weekday,2024
Opera Suite Hotel,Yerevan,2024-01-08,117.73,4.1,Winter,Weekday,2024
Silachi Hotel,Yerevan,2024-01-08,154.03,4.0,Winter,Weekday,2024
Marriott Tsaghkadzor,Tsaghkadzor,2024-01-08,207.33,4.6,Winter,Weekday,2024
Kecharis Hotel & Resort,Tsaghkadzor,2024-01-08,134.58,4.5,Winter,Weekday,2024
Ararat Resort Tsaghkadzor,Tsaghkadzor,2024-01-08,181.52,4.4,Winter,Weekday,2024
Golden Palace Tsaghkadzor,Tsaghkadzor,2024-01-08,133.00,4.2,Winter,Weekday,2024
Tufenkian Old Dilijan Complex,Dilijan,2024-01-08,106.60,4.7,Winter,Weekday,2024
Best Western Plus Paradise Hotel Dilijan,Dilijan,2024-01-08,145.79,4.5,Winter,Weekday,2024
Dilijan Resort,Dilijan,2024-01-08,131.49,4.3,Winter,Weekday,2024
Jermuk Olympia Sanatorium,Jermuk,2024-01-08,76.35,4.4,Winter,Weekday,2024
Jermuk Ashkharh Health Center,Jermuk,2024-01-08,89.71,4.2,Winter,Weekday,2024
Jermuk Grand Hotel,Jermuk,2024-01-08,124.92,4.3,Winter,Weekday,2024
Grand Hotel Gyumri,Gyumri,2024-01-08,116.50,4.1,Winter,Weekday,2024
Berlin Art Hotel Gyumri,Gyumri,2024-01-08,103.54,4.0,Winter,Weekday,2024
Aleksandrapol Hotel,Gyumri,2024-01-08,111.74,3.9,Winter,Weekday,2024
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2024-01-09,238.17,4.7,Winter,Weekday,2024
Republica Hotel Yerevan,Yerevan,2024-01-09,194.50,4.5,Winter,Weekday,2024
DoubleTree by Hilton Yerevan,Yerevan,2024-01-09,227.91,4.6,Winter,Weekday,2024
Ani Grand Hotel Yerevan,Yerevan,2024-01-09,147.09,4.4,Winter,Weekday,2024
Metropol Hotel Yerevan,Yerevan,2024-01-09,172.39,4.3,Winter,Weekday,2024
Grand Hotel Yerevan,Yerevan,2024-01-09,155.48,4.2,Winter,Weekday,2024
Opera Suite Hotel,Yerevan,2024-01-09,128.95,4.1,Winter,Weekday,2024
Silachi Hotel,Yerevan,2024-01-09,157.86,4.0,Winter,Weekday,2024
Marriott Tsaghkadzor,Tsaghkadzor,2024-01-09,206.88,4.6,Winter,Weekday,2024
Kecharis Hotel & Resort,Tsaghkadzor,2024-01-09,187.61,4.5,Winter,Weekday,2024
Ararat Resort Tsaghkadzor,Tsaghkadzor,2024-01-09,177.76,4.4,Winter,Weekday,2024
Golden Palace Tsaghkadzor,Tsaghkadzor,2024-01-09,107.00,4.2,Winter,Weekday,2024
Tufenkian Old Dilijan Complex,Dilijan,2024-01-09,131.85,4.7,Winter,Weekday,2024
Best Western Plus Paradise Hotel Dilijan,Dilijan,2024-01-09,119.41,4.5,Winter,Weekday,2024
Dilijan Resort,Dilijan,2024-01-09,100.25,4.3,Winter,Weekday,2024
Jermuk Olympia Sanatorium,Jermuk,2024-01-09,90.99,4.4,Winter,Weekday,2024
Jermuk Ashkharh Health Center,Jermuk,2024-01-09,67.40,4.2,Winter,Weekday,2024
Jermuk Grand Hotel,Jermuk,2024-01-09,104.98,4.3,Winter,Weekday,2024
Grand Hotel Gyumri,Gyumri,2024-01-09,120.00,4.1,Winter,Weekday,2024
Berlin Art Hotel Gyumri,Gyumri,2024-01-09,80.77,4.0,Winter,Weekday,2024
Aleksandrapol Hotel,Gyumri,2024-01-09,92.49,3.9,Winter,Weekday,2024
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2024-01-10,249.16,4.7,Winter,Weekday,2024
Republica Hotel Yerevan,Yerevan,2024-01-10,214.84,4.5,Winter,Weekday,2024
DoubleTree by Hilton Yerevan,Yerevan,2024-01-10,195.73,4.6,Winter,Weekday,2024
Ani Grand Hotel Yerevan,Yerevan,2024-01-10,175.79,4.4,Winter,Weekday,2024
Metropol Hotel Yerevan,Yerevan,2024-01-10,148.67,4.3,Winter,Weekday,2024
Grand Hotel Yerevan,Yerevan,2024-01-10,164.08,4.2,Winter,Weekday,2024
Opera Suite Hotel,Yerevan,2024-01-10,149.77,4.1,Winter,Weekday,2024
Silachi Hotel,Yerevan,2024-01-10,116.20,4.0,Winter,Weekday,2024
Marriott Tsaghkadzor,Tsaghkadzor,2024-01-10,144.92,4.6,Winter,Weekday,2024
Kecharis Hotel & Resort,Tsaghkadzor,2024-01-10,159.25,4.5,Winter,Weekday,2024
Ararat Resort Tsaghkadzor,Tsaghkadzor,2024-01-10,160.70,4.4,Winter,Weekday,2024
Golden Palace Tsaghkadzor,Tsaghkadzor,2024-01-10,127.06,4.2,Winter,Weekday,2024
Tufenkian Old Dilijan Complex,Dilijan,2024-01-10,127.50,4.7,Winter,Weekday,2024
Best Western Plus Paradise Hotel Dilijan,Dilijan,2024-01-10,124.22,4.5,Winter,Weekday,2024
Dilijan Resort,Dilijan,2024-01-10,81.66,4.3,Winter,Weekday,2024
Jermuk Olympia Sanatorium,Jermuk,2024-01-10,108.93,4.4,Winter,Weekday,2024
Jermuk Ashkharh Health Center,Jermuk,2024-01-10,119.16,4.2,Winter,Weekday,2024
Jermuk Grand Hotel,Jermuk,2024-01-10,105.04,4.3,Winter,Weekday,2024
Grand Hotel Gyumri,Gyumri,2024-01-10,77.23,4.1,Winter,Weekday,2024
Berlin Art Hotel Gyumri,Gyumri,2024-01-10,79.72,4.0,Winter,Weekday,2024
Aleksandrapol Hotel,Gyumri,2024-01-10,97.39,3.9,Winter,Weekday,2024
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2024-01-11,251.39,4.7,Winter,Weekday,2024
Republica Hotel Yerevan,Yerevan,2024-01-11,184.69,4.5,Winter,Weekday,2024
DoubleTree by Hilton Yerevan,Yerevan,2024-01-11,204.99,4.6,Winter,Weekday,2024
Ani Grand Hotel Yerevan,Yerevan,2024-01-11,184.03,4.4,Winter,Weekday,2024
Metropol Hotel Yerevan,Yerevan,2024-01-11,196.91,4.3,Winter,Weekday,2024
Grand Hotel Yerevan,Yerevan,2024-01-11,107.22,4.2,Winter,Weekday,2024
Opera Suite Hotel,Yerevan,2024-01-11,110.08,4.1,Winter,Weekday,2024
Silachi Hotel,Yerevan,2024-01-11,119.34,4.0,Winter,Weekday,2024
Marriott Tsaghkadzor,Tsaghkadzor,2024-01-11,178.09,4.6,Winter,Weekday,2024
Kecharis Hotel & Resort,Tsaghkadzor,2024-01-11,166.91,4.5,Winter,Weekday,2024
Ararat Resort Tsaghkadzor,Tsaghkadzor,2024-01-11,175.26,4.4,Winter,Weekday,2024
Golden Palace Tsaghkadzor,Tsaghkadzor,2024-01-11,155.08,4.2,Winter,Weekday,2024
Tufenkian Old Dilijan Complex,Dilijan,2024-01-11,148.79,4.7,Winter,Weekday,2024
Best Western Plus Paradise Hotel Dilijan,Dilijan,2024-01-11,126.41,4.5,Winter,Weekday,2024
Dilijan Resort,Dilijan,2024-01-11,126.05,4.3,Winter,Weekday,2024
Jermuk Olympia Sanatorium,Jermuk,2024-01-11,133.53,4.4,Winter,Weekday,2024
Jermuk Ashkharh Health Center,Jermuk,2024-01-11,89.32,4.2,Winter,Weekday,2024
Jermuk Grand Hotel,Jermuk,2024-01-11,84.91,4.3,Winter,Weekday,2024
Grand Hotel Gyumri,Gyumri,2024-01-11,118.67,4.1,Winter,Weekday,2024
Berlin Art Hotel Gyumri,Gyumri,2024-01-11,97.80,4.0,Winter,Weekday,2024
Aleksandrapol Hotel,Gyumri,2024-01-11,62.92,3.9,Winter,Weekday,2024
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2024-01-12,225.03,4.7,Winter,Weekday,2024
Republica Hotel Yerevan,Yerevan,2024-01-12,195.28,4.5,Winter,Weekday,2024
DoubleTree by Hilton Yerevan,Yerevan,2024-01-12,198.24,4.6,Winter,Weekday,2024
Ani Grand Hotel Yerevan,Yerevan,2024-01-12,189.25,4.4,Winter,Weekday,2024
Metropol Hotel Yerevan,Yerevan,2024-01-12,168.89,4.3,Winter,Weekday,2024
Grand Hotel Yerevan,Yerevan,2024-01-12,121.47,4.2,Winter,Weekday,2024
Opera Suite Hotel,Yerevan,2024-01-12,125.12,4.1,Winter,Weekday,2024
Silachi Hotel,Yerevan,2024-01-12,136.80,4.0,Winter,Weekday,2024
Marriott Tsaghkadzor,Tsaghkadzor,2024-01-12,223.36,4.6,Winter,Weekday,2024
Kecharis Hotel & Resort,Tsaghkadzor,2024-01-12,141.39,4.5,Winter,Weekday,2024
Ararat Resort Tsaghkadzor,Tsaghkadzor,2024-01-12,144.51,4.4,Winter,Weekday,2024
Golden Palace Tsaghkadzor,Tsaghkadzor,2024-01-12,175.00,4.2,Winter,Weekday,2024
Tufenkian Old Dilijan Complex,Dilijan,2024-01-12,121.01,4.7,Winter,Weekday,2024
Best Western Plus Paradise Hotel Dilijan,Dilijan,2024-01-12,117.31,4.5,Winter,Weekday,2024
Dilijan Resort,Dilijan,2024-01-12,85.39,4.3,Winter,Weekday,2024
Jermuk Olympia Sanatorium,Jermuk,2024-01-12,91.96,4.4,Winter,Weekday,2024
Jermuk Ashkharh Health Center,Jermuk,2024-01-12,86.59,4.2,Winter,Weekday,2024
Jermuk Grand Hotel,Jermuk,2024-01-12,87.99,4.3,Winter,Weekday,2024
Grand Hotel Gyumri,Gyumri,2024-01-12,94.05,4.1,Winter,Weekday,2024
Berlin Art Hotel Gyumri,Gyumri,2024-01-12,93.55,4.0,Winter,Weekday,2024
Aleksandrapol Hotel,Gyumri,2024-01-12,82.13,3.9,Winter,Weekday,2024
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2024-01-13,236.87,4.7,Winter,Weekend,2024
Republica Hotel Yerevan,Yerevan,2024-01-13,193.99,4.5,Winter,Weekend,2024
DoubleTree by Hilton Yerevan,Yerevan,2024-01-13,194.96,4.6,Winter,Weekend,2024
Ani Grand Hotel Yerevan,Yerevan,2024-01-13,183.07,4.4,Winter,Weekend,2024
Metropol Hotel Yerevan,Yerevan,2024-01-13,208.01,4.3,Winter,Weekend,2024
Grand Hotel Yerevan,Yerevan,2024-01-13,174.59,4.2,Winter,Weekend,2024
Opera Suite Hotel,Yerevan,2024-01-13,112.07,4.1,Winter,Weekend,2024
Silachi Hotel,Yerevan,2024-01-13,110.55,4.0,Winter,Weekend,2024
Marriott Tsaghkadzor,Tsaghkadzor,2024-01-13,225.00,4.6,Winter,Weekend,2024
Kecharis Hotel & Resort,Tsaghkadzor,2024-01-13,200.00,4.5,Winter,Weekend,2024
Ararat Resort Tsaghkadzor,Tsaghkadzor,2024-01-13,187.50,4.4,Winter,Weekend,2024
Golden Palace Tsaghkadzor,Tsaghkadzor,2024-01-13,175.00,4.2,Winter,Weekend,2024
Tufenkian Old Dilijan Complex,Dilijan,2024-01-13,96.55,4.7,Winter,Weekend,2024
Best Western Plus Paradise Hotel Dilijan,Dilijan,2024-01-13,102.33,4.5,Winter,Weekend,2024
Dilijan Resort,Dilijan,2024-01-13,117.10,4.3,Winter,Weekend,2024
Jermuk Olympia Sanatorium,Jermuk,2024-01-13,135.55,4.4,Winter,Weekend,2024
Jermuk Ashkharh Health Center,Jermuk,2024-01-13,83.81,4.2,Winter,Weekend,2024
Jermuk Grand Hotel,Jermuk,2024-01-13,120.46,4.3,Winter,Weekend,2024
Grand Hotel Gyumri,Gyumri,2024-01-13,146.25,4.1,Winter,Weekend,2024
Berlin Art Hotel Gyumri,Gyumri,2024-01-13,74.90,4.0,Winter,Weekend,2024
Aleksandrapol Hotel,Gyumri,2024-01-13,88.81,3.9,Winter,Weekend,2024
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2024-01-14,332.35,4.7,Winter,Weekend,2024
Republica Hotel Yerevan,Yerevan,2024-01-14,231.30,4.5,Winter,Weekend,2024
DoubleTree by Hilton Yerevan,Yerevan,2024-01-14,262.56,4.6,Winter,Weekend,2024
Ani Grand Hotel Yerevan,Yerevan,2024-01-14,187.33,4.4,Winter,Weekend,2024
Metropol Hotel Yerevan,Yerevan,2024-01-14,221.72,4.3,Winter,Weekend,2024
Grand Hotel Yerevan,Yerevan,2024-01-14,132.02,4.2,Winter,Weekend,2024
Opera Suite Hotel,Yerevan,2024-01-14,152.64,4.1,Winter,Weekend,2024
Silachi Hotel,Yerevan,2024-01-14,135.04,4.0,Winter,Weekend,2024
Marriott Tsaghkadzor,Tsaghkadzor,2024-01-14,205.15,4.6,Winter,Weekend,2024
Kecharis Hotel & Resort,Tsaghkadzor,2024-01-14,200.00,4.5,Winter,Weekend,2024
Ararat Resort Tsaghkadzor,Tsaghkadzor,2024-01-14,144.81,4.4,Winter,Weekend,2024
Golden Palace Tsaghkadzor,Tsaghkadzor,2024-01-14,174.09,4.2,Winter,Weekend,2024
Tufenkian Old Dilijan Complex,Dilijan,2024-01-14,149.15,4.7,Winter,Weekend,2024
